CPU_Usage(%),Active_Switches,Joule_Loss_low(J),Joule_Loss_high(J)
0.0,0,0.0,0.0
8.1,2215626935500,2.145e-05,0.00214473
7.6,2078859840716,2.012e-05,0.00201234
5.3,1449731204710,1.403e-05,0.00140334
4.3,1176197015142,1.139e-05,0.00113856
34.1,9327515864268,9.029e-05,0.00902904
11.9,3255056855859,3.151e-05,0.0031509
13.4,3665358140211,3.548e-05,0.00354807
26.8,7330716280422,7.096e-05,0.00709613
17.4,4759494898483,4.607e-05,0.00460719
26.8,7330716280422,7.096e-05,0.00709613
13.5,3692711559168,3.575e-05,0.00357454
10.5,2872108990464,2.78e-05,0.0027802
11.6,3172996598988,3.071e-05,0.00307146
10.0,2735341895680,2.648e-05,0.00264781
13.3,3638004721254,3.522e-05,0.00352159
7.4,2024153002803,1.959e-05,0.00195938
19.9,5443330372403,5.269e-05,0.00526914
13.4,3665358140211,3.548e-05,0.00354807
17.5,4786848317440,4.634e-05,0.00463367
15.9,4349193614131,4.21e-05,0.00421002
5.3,1449731204710,1.403e-05,0.00140334
7.9,2160920097587,2.092e-05,0.00209177
7.7,2106213259673,2.039e-05,0.00203881
8.8,2407100868198,2.33e-05,0.00233007
7.3,1996799583846,1.933e-05,0.0019329
5.0,1367670947840,1.324e-05,0.00132391
15.3,4185073100390,4.051e-05,0.00405115
27.0,7385423118336,7.149e-05,0.00714909
12.7,3473884207513,3.363e-05,0.00336272
32.2,8807800904089,8.526e-05,0.00852595
18.1,4950968831180,4.793e-05,0.00479254
12.2,3337117112729,3.23e-05,0.00323033
9.6,2625928219852,2.542e-05,0.0025419
19.1,5224503020748,5.057e-05,0.00505732
19.1,5224503020748,5.057e-05,0.00505732
6.7,1832679070105,1.774e-05,0.00177403
4.7,1285610690969,1.244e-05,0.00124447
9.6,2625928219852,2.542e-05,0.0025419
16.2,4431253871001,4.289e-05,0.00428945
18.1,4950968831180,4.793e-05,0.00479254
5.9,1613851718451,1.562e-05,0.00156221
22.8,6236579522150,6.037e-05,0.00603701
12.0,3282410274816,3.177e-05,0.00317737
5.9,1613851718451,1.562e-05,0.00156221
12.5,3419177369600,3.31e-05,0.00330976
9.1,2489161125068,2.41e-05,0.00240951
15.8,4321840195174,4.184e-05,0.00418354
7.1,1942092745932,1.88e-05,0.00187995
8.2,2242980354457,2.171e-05,0.0021712
9.6,2625928219852,2.542e-05,0.0025419
13.8,3774771816038,3.654e-05,0.00365398
8.3,2270333773414,2.198e-05,0.00219768
20.2,5525390629273,5.349e-05,0.00534858
21.9,5990398751539,5.799e-05,0.00579871
18.6,5087735925964,4.925e-05,0.00492493
13.6,3720064978124,3.601e-05,0.00360102
9.0,2461807706112,2.383e-05,0.00238303
16.2,4431253871001,4.289e-05,0.00428945
12.9,3528591045427,3.416e-05,0.00341568
7.0,1914739326976,1.853e-05,0.00185347
7.5,2051506421760,1.986e-05,0.00198586
6.9,1887385908019,1.827e-05,0.00182699
6.4,1750618813235,1.695e-05,0.0016946
11.7,3200350017945,3.098e-05,0.00309794
13.4,3665358140211,3.548e-05,0.00354807
21.0,5744217980928,5.56e-05,0.0055604
32.7,8944567998873,8.658e-05,0.00865834
30.6,8370146200780,8.102e-05,0.0081023
28.1,7686310726860,7.44e-05,0.00744035
10.3,2817402152550,2.727e-05,0.00272725
17.0,4650081222656,4.501e-05,0.00450128
26.4,7221302604595,6.99e-05,0.00699022
19.9,5443330372403,5.269e-05,0.00526914
8.9,2434454287155,2.357e-05,0.00235655
18.1,4950968831180,4.793e-05,0.00479254
18.1,4950968831180,4.793e-05,0.00479254
23.8,6510113711718,6.302e-05,0.00630179
22.7,6209226103193,6.011e-05,0.00601053
36.3,9929291081318,9.612e-05,0.00961155
26.2,7166595766681,6.937e-05,0.00693726
24.5,6701587644416,6.487e-05,0.00648714
29.3,8014551754342,7.758e-05,0.00775809
33.4,9136041931571,8.844e-05,0.00884369
24.7,6756294482329,6.54e-05,0.00654009
19.7,5388623534489,5.216e-05,0.00521619
24.1,6592173968588,6.381e-05,0.00638122
29.0,7932491497472,7.679e-05,0.00767865
30.7,8397499619737,8.129e-05,0.00812878
26.7,7303362861465,7.07e-05,0.00706966
19.5,5333916696576,5.163e-05,0.00516323
15.1,4130366262476,3.998e-05,0.00399819
17.9,4896261993267,4.74e-05,0.00473958
20.0,5470683791360,5.296e-05,0.00529562
17.4,4759494898483,4.607e-05,0.00460719
15.6,4267133357260,4.131e-05,0.00413059
11.1,3036229504204,2.939e-05,0.00293907
13.5,3692711559168,3.575e-05,0.00357454
9.8,2680635057766,2.595e-05,0.00259485
8.7,2379747449241,2.304e-05,0.0023036
13.9,3802125234995,3.68e-05,0.00368046
15.3,4185073100390,4.051e-05,0.00405115
12.4,3391823950643,3.283e-05,0.00328329
9.9,2707988476723,2.621e-05,0.00262133
15.3,4185073100390,4.051e-05,0.00405115
9.6,2625928219852,2.542e-05,0.0025419
6.3,1723265394278,1.668e-05,0.00166812
18.7,5115089344921,4.951e-05,0.00495141
14.7,4020952586649,3.892e-05,0.00389228
13.2,3610651302297,3.495e-05,0.00349511
9.4,2571221381939,2.489e-05,0.00248894
15.0,4103012843520,3.972e-05,0.00397172
25.2,6893061577113,6.672e-05,0.00667248
23.7,6482760292761,6.275e-05,0.00627531
12.7,3473884207513,3.363e-05,0.00336272
17.6,4814201736396,4.66e-05,0.00466015
14.0,3829478653952,3.707e-05,0.00370694
15.9,4349193614131,4.21e-05,0.00421002
22.1,6045105589452,5.852e-05,0.00585166
15.0,4103012843520,3.972e-05,0.00397172
21.5,5880985075712,5.693e-05,0.00569279
14.0,3829478653952,3.707e-05,0.00370694
21.0,5744217980928,5.56e-05,0.0055604
32.7,8944567998873,8.658e-05,0.00865834
27.6,7549543632076,7.308e-05,0.00730796
31.3,8561620133478,8.288e-05,0.00828765
9.8,2680635057766,2.595e-05,0.00259485
11.8,3227703436902,3.124e-05,0.00312442
15.6,4267133357260,4.131e-05,0.00413059
23.4,6400700035891,6.196e-05,0.00619588
9.0,2461807706112,2.383e-05,0.00238303
21.4,5853631656755,5.666e-05,0.00566632
16.1,4403900452044,4.263e-05,0.00426298
12.8,3501237626470,3.389e-05,0.0033892
14.2,3884185491865,3.76e-05,0.00375989
22.6,6181872684236,5.984e-05,0.00598405
22.6,6181872684236,5.984e-05,0.00598405
68.7,18791798823321,0.0001819,0.01819046
28.9,7905138078515,7.652e-05,0.00765217
16.5,4513314127872,4.369e-05,0.00436889
12.5,3419177369600,3.31e-05,0.00330976
24.0,6564820549632,6.355e-05,0.00635475
22.8,6236579522150,6.037e-05,0.00603701
11.3,3090936342118,2.992e-05,0.00299203
23.7,6482760292761,6.275e-05,0.00627531
40.2,10996074420633,0.00010644,0.0106442
14.0,3829478653952,3.707e-05,0.00370694
14.4,3938892329779,3.813e-05,0.00381285
17.9,4896261993267,4.74e-05,0.00473958
12.9,3528591045427,3.416e-05,0.00341568
11.9,3255056855859,3.151e-05,0.0031509
9.6,2625928219852,2.542e-05,0.0025419
15.9,4349193614131,4.21e-05,0.00421002
19.0,5197149601792,5.031e-05,0.00503084
19.1,5224503020748,5.057e-05,0.00505732
32.0,8753094066176,8.473e-05,0.008473
30.2,8260732524953,7.996e-05,0.00799639
20.1,5498037210316,5.322e-05,0.0053221
17.3,4732141479526,4.581e-05,0.00458071
31.8,8698387228262,8.42e-05,0.00842004
18.6,5087735925964,4.925e-05,0.00492493
27.8,7604250469990,7.361e-05,0.00736091
27.6,7549543632076,7.308e-05,0.00730796
17.1,4677434641612,4.528e-05,0.00452776
15.5,4239779938304,4.104e-05,0.00410411
19.6,5361270115532,5.19e-05,0.00518971
24.2,6619527387545,6.408e-05,0.0064077
26.7,7303362861465,7.07e-05,0.00706966
21.5,5880985075712,5.693e-05,0.00569279
21.8,5963045332582,5.772e-05,0.00577223
28.6,7823077821644,7.573e-05,0.00757274
22.9,6263932941107,6.063e-05,0.00606349
18.3,5005675669094,4.845e-05,0.00484549
23.9,6537467130675,6.328e-05,0.00632827
28.4,7768370983731,7.52e-05,0.00751978
21.0,5744217980928,5.56e-05,0.0055604
23.7,6482760292761,6.275e-05,0.00627531
21.2,5798924818841,5.613e-05,0.00561336
16.6,4540667546828,4.395e-05,0.00439537
30.2,8260732524953,7.996e-05,0.00799639
22.9,6263932941107,6.063e-05,0.00606349
23.9,6537467130675,6.328e-05,0.00632827
29.3,8014551754342,7.758e-05,0.00775809
31.0,8479559876608,8.208e-05,0.00820821
26.4,7221302604595,6.99e-05,0.00699022
29.2,7987198335385,7.732e-05,0.00773161
21.1,5771571399884,5.587e-05,0.00558688
23.2,6345993197977,6.143e-05,0.00614292
29.9,8178672268083,7.917e-05,0.00791695
26.1,7139242347724,6.911e-05,0.00691079
22.5,6154519265280,5.958e-05,0.00595757
27.9,7631603888947,7.387e-05,0.00738739
17.1,4677434641612,4.528e-05,0.00452776
16.6,4540667546828,4.395e-05,0.00439537
29.7,8123965430169,7.864e-05,0.007864
25.3,6920414996070,6.699e-05,0.00669896
30.2,8260732524953,7.996e-05,0.00799639
24.5,6701587644416,6.487e-05,0.00648714
16.9,4622727803699,4.475e-05,0.0044748
32.9,8999274836787,8.711e-05,0.0087113
16.3,4458607289958,4.316e-05,0.00431593
